en-CA,fr-CA
Ranch Grilled Snack Wrap,Renouvellem
Ranch Sauce,Répartis Sur
Ranch Snack Wrap w/ Crispy Chicken McValue Meal,Repas familial
Ranch Snack Wrap w/ Grilled Chicken McValue Meal,Repas Joyeux festin
Ranch Snack Wrap® w/ Crispy Chicken McValue Meal,Repas quatre
Ranch Snack Wrap® w/ Grilled Chicken McValue Meal,Retour JF boisson PST
Raspberry Pomegranate Syrup,Retour trio boisson PST
Raspberry Pomegranate Syrup,Root Beer Syrup
Red Packet,Rôties pain blanc
Red Skin Potato Salad,Rôties pain blé entier
Reese's Pieces,Rôties pain brun
Refill,Sac
Refill Tea,Sac séparé
Reg Chicken Nacho Poutine with Crispy Chicken,Sac(s)
Reg Chicken Nacho Poutine with Grilled Chicken,Sac(s)
Reg Crm Chs,Sach à côté
Regular,Sach sauce style mayo
Regular Bagel,Sachet à côté
Regular Caramel Cheesecake McFlurry,Sachet canneberges
Regular CC,Sachet de graines de citrouille
Regular Chocolate Cheesecake McFlurry,Sachet de sauce de style mayonnaise
Regular Cream Cheese,Sachet de Splenda
Regular Oreo Cheesecake McFlurry,Sachet de sucre
Regular Oreo McFlurry,Sachet graines de citrouille
Regular Pour,Sachet sel
Regular Salted Caramel McFlurry,Sachets de thé chai éclat
Regular Skor McFlurry,Sachets de thé earl grey suppl
Regular Smarties McFlurry,Sachets de thé earl grey supplémentaires
Regular Spicy Buffalo Crispy Poutine,Sachets de thé menthe supplém
Regular Spicy Buffalo Grilled Poutine,Sachets de thé orange pekoe su
Returnable Cold Cup,Sachets de thé orange pekoe supplémentaires
Returnable Hot Cup,Sachets de thé vert supplément
Rink Holiday Mug,Sachets de thé vert supplémentaires
RMHC Canada Donation $3,Sachets ketchup
RMHC Canada Donation $5,Salade asiatique
RMHC Coupon Book,Salade aux 3 grains au sésame
Roaring Black Tea,Salade aux 3 grains au sésame et au gingembre
Ronald McDonald House Donation,Salade aux pommes de terre rouges
Root Beer Syrup,Salade d'Entrée
Rotisserie Sauce,Salade d’épinards (carottes/gr. tournesol/canneb.)
Round Egg,Salade de couscous
S  Hot Choc ***,Salade de haricots noirs
S Apple Juice,Salade de pois chiches et d'ed
S Cappuccino ***,Salade de pois chiches et d'edamames
S Cappuccino Syrup ***,Salade de taboulé
S Caramel Choc Latte ***,Salade du jardin (pommes et noix)
S Caramel Choc Mocha ***,Salade fusion asiatique au sésame
S Caramel Latte ***,Salade grecque aux pâtes et au feta
S Chai Latte ***,Salade pad thaï
S Choc Chip Lat ***,Salade teriyaki ***
S Crème Brûlée Latte ***,Salade-repas César
S Green Tea,Salade-repas grecque
S Green Tea L,Salade-repas récolte
S Hot Choc  ***,Salades-repas
S Hot Choc ***,Salé sirop au caramel
S Hot Choc Mint ***,Salsa
S Hot Chocolate ***,Sand. McMuffin ou McCrêpes au
S Hot Water,Sand. McMuffin ou McCrêpes au poulet
S Hot Wht Choc ***,sandwich
S Ice Latte ***,Sandwich
S Iced Matcha Latte ***,Sandwich Au Bagel
S Lat Brûlée ***,Sandwich au fromage fondant
S Lat Caramel ***,Sandwich au poulet grillé
S Lat Chc Chp ***,Sandwich au poulet grillé de l
S Lat Cml Choc ***,Sandwich au poulet grillé de luxe avec bacon
S Lat M. Caramel ***,Sandwich épicé au poulet grill
S Lat M. Caramel***,Sandwich épicé au poulet grillé
S Lat M. Crml ***,Sandwich épicé au poulet grillé de luxe avec bacon
S Lat Pump ***,Sandwich et M Boisso
S Lat Pumpkin Crml ***,"Sandwich et M Boisson pour X,XX$"
S Lat SF ***,Sandwich junior au poulet
S Latte ***,Sandwich MacPoulet
S Latte Cml Choc ***,sandwich McMuffin
S Latte Pumpkin ***,Sandwich Mcmuffin
S Latte Syrup ***,Sandwich petit déjeuner
S Lndn Fog Latte ***,Sandwich Petit Déjeuner
S Matcha Latte ***,"Sandwich pour X,XX$"
S Mint Latte ***,Sandwichs Bistro
S Mint Latte L ***,Sandwichs bistro
S Mint Latte R ***,Sandwichs café
S Mocha ***,Sandwichs McCrêpes
S Mocha Cml Choc ***,Sandwichs McMuffin
S Mocha Mint ***,Sandwichs McWrap
S Mocha Wht Choc ***,Sandwichs Wrap-éclair
S Orange Juice,Sandwichs-matin
S SF Latte ***,Sans confiture
S Sugar Free Latte ***,Sans crème fouettée
S Van Latte ***,Sans glace
S Water,Sans jouet
SA Cappuccino ***,Sans paille
SA Cappuccino Syrup ***,Sans pâté
Sa Caramel Choc Latte ***,Sans sachets ketchup
SA Caramel Choc Latte ***,Sans sauce
SA Caramel Choc Mocha ***,Sans Sauce
SA Hot Choc Mint ***,Sans sauce à bouchées de froma
SA Hot Chocolate ***,Sans sauce à bouchées de fromage
SA Lat Caramel ***,Sans sauce aioli
SA Lat Cml Choc  ***,Sans sauce tartare
SA Lat Cml Choc ***,Sans sirop
SA Lat M. Caramel ***,Sans ustensiles
SA Lat M. Caramel***,Sans vinaigrette
SA Lat Pump ***,Sauc McCrêpes
SA Lat Pumpkin Crml ***,Sauc McMuf oeuf
Sa Lat SF ***,Sauc McMuffin
Sa Latte ***,Sauce
Sa Latte Cml Choc ***,Sauce 3 from
SA Latte Pumpkin ***,Sauce 3 fromage
SA Latte Syrup ***,Sauce à Big Mac
SA Latte Van,Sauce à crème sure et oignon
SA Latte Vanilla,Sauce à l’ail style Frank’s Re
SA Mocha ***,Sauce à l’ail style Frank’s RedHot
SA Mocha Cml Choc ***,Sauce à la fumée de bois de po
SA Mocha Mint ***,Sauce à la fumée de bois de pommier
Sa SF Latte ***,Sauce à la thaïe
Sa Van Latte ***,Sauce aigre-douce
Salad Dressing,Sauce aioli
Salad Dressings,Sauce au fromage nacho
Salad Meat,Sauce au miel
Salad Mix,Sauce au scotch bonnet
Salsa,Sauce aux canneberges
Salsa Packet,Sauce aux féta et aux olives
Salt,Sauce aux fines herbes italien
Salt Packet,Sauce aux fines herbes italienne
Salted Caramel Crunch Topping,Sauce barbecue
Salted Caramel McFlurry,Sauce barbecue Caroline
Salted Caramel Syrup,Sauce barbecue fumée
Sample,Sauce BBQ
Sandwich,Sauce Buffalo
Sandwich & Med Drink Offer,Sauce César
Sans sauce à bouchées de froma,Sauce chili doux
Sans sauce à bouchées de fromage,Sauce chipotle crémeuse
Sau Egg Bagel,Sauce cornichon à l'aneth crémeuse
Sau Egg Bagl VM,Sauce cornichon crémeuse
Sauce,Sauce crém. tomate
Sausage 'n Egg McMuffin,Sauce crém. Tomate
Sausage 'N Egg McMuffin,Sauce de style hollandaise
Sausage 'N Egg McMuffin Extra Value Meal,Sauce épaisse originale Frank’
Sausage 'n' Egg McMuffin,Sauce épaisse originale Frank’s RedHot®
Sausage 'n' Egg McMuffin Extra Value Meal,Sauce épice crémeaux
Sausage Egg McMuffin,Sauce épicée avec habanero
Sausage McGriddle,Sauce féta méditerranéenne
Sausage McGriddle Extra Value Meal,Sauce fromage
Sausage McGriddles,Sauce fromage suisse
Sausage McGriddles McValue Meal,Sauce fromagée
Sausage McMuffin,Sauce Lime coriandre
Sausage McMuffin & Hash Brown,Sauce mayonnaise
Sausage McMuffin & Hash Brown Deal,Sauce McCroq
Sausage McMuffin Extra Value Meal,Sauce McCroquettes
Sausage McMuffin McValue Meal,Sauce Mediterran
Sausage Patty,Sauce Mediterranean
"Sausage, Bacon & Egg Breakfast Wrap",Sauce miel épicé Frank’s RedHo
"Sausage, Bacon & Egg Breakfast Wrap Extra Value Meal",Sauce miel épicé Frank’s RedHot
"Sausage, Bacon & Egg Wrap",Sauce moutarde forte
"Sausage, Egg & Cheese McGridde",Sauce poutine
"Sausage, Egg & Cheese McGriddl",Sauce Ranch
"Sausage, Egg & Cheese McGriddles",Sauce style rôtisserie
"Sausage, Egg & Cheese McGriddles Extra Value Meal",Sauce tartare
Sausge Egg McMuffin & Hash Brown Deal,Sauce-matin
Sausge Egg McMuffin & HB,Sauces à McCroquettes
Scotch Bonnet Sauce,Saucisse McCrêpes
Seasoning,Saucisse McCrêpes avec œuf
Select Coffee,Saucisse McMuffin
Select Fries,Saucisse McMuffin avec œuf
Select Happy Meal,Saucisse McMuffin Oeuf
Select Happy Meal Drink,Saucisse McMuffin œuf et sauce
Select HM Side,Saucisse McMuffin œuf et sauce ail style Frank’s
Select Lunch Side,Sel
Select Sandwich,Sélection de sac
Select Small Brewed Coffee,Serviettes
Senior,Sésame bagel
Senior Drink,Simply Limonade avec framboise
Senior Earl Grey Tea,Sirop
Senior Green Tea,Sirop à crêpes
Senior Hot Chocolate,Sirop à la fraise et au fruit
Senior Orange Pekoe Tea,Sirop à la fraise et au fruit de la passion
Senior Peppermint Tea,Sirop à la framb bleue
Senior's Earl Grey Tea,Sirop à la pêche et à la mangu
Senior's Green Tea,Sirop à la pêche et à la mangue
Senior's Orange Pekoe Tea,Sirop à la vanille
Senior's Peppermint Tea,Sirop à la vanille française
Separate Bags,Sirop au caramel
Served,Sirop au chocolat
Service Fee,Sirop Framboise et Grenade
Sesame and Poppy Seed Bun,Sirop Framboise et Grenade
Sesame Bacon 'N Egg Bagel,Sirop melon lime
Sesame Bacon 'N Egg Bagel Extra Value Meal,Sirop sans sucre
Sesame Bagel,Skor
Sesame Bagel w/ Reg CC Product,SKOR
Sesame Bagel w/ Reg Cream Cheese McValue Meal,Small Cup
Sesame Bagel w/ Regular CC,Smoothie
Sesame Bagel w/ Regular Cream,Smoothie fraises-banane
Sesame Bagel w/ Regular Cream Cheese,Smoothie grenade-bleuets
Sesame Bagel w/ Regular Cream Cheese Product,Smoothie mangue-ananas
Sesame Bagel with Regular Cream Cheese,Smoothies et frappes
Sesame Bagl w/ Spreads,Smoothies et Frappés
Sesame Bagl w/ Spreads ***,Smoothies et Frappés glacés
Sesame BLT Bagel,Soutenir CapitalCare Norwood
Sesame BLT Bagel EVM,Splash fraîcheur au citron
Sesame BLT Bagel Extra Value Meal,Splash fraîcheur au melon d’eau et à la lime
Sesame Egg BLT Bagel,Splenda
Sesame Egg BLT Bagel Extra Value Meal,Sprite
Sesame Sausage 'N Egg Bagel,Sprite nocturne
Sesame Sausage 'N Egg Bagel Extra Value Meal,Sprite Syrup
Sesame Seed Split Bun,Sub bac dos
Seseme Bagel Happy Meal,Sub fr MoJac
Sesm Bgl w/ Sprd VM ***,Sub laitu la
Shamrock Shake,Sub muf angl
Share Bundle,Sub parmesan
Share Bundle (Serves 2),Sub sce BMac
Shred Parmesan,Sub sceRanch
Shredded Carrots,Sub tr from
Shredded Cheese,Subs coul ch
Shredded Lettuce,Subs poul cr
Side Item,Subs sir car
Side Salads & Snack Wraps,Subs sir van
Signature Danish,Subs tartare
Signature Danishes,Subst bacon
Silver Holiday Tumblr,Subst bacon dos
Simply Apple Juice,Subst coulis choc
Simply Lemonade Raspberry,Subst crème
Simply Orange Juice,Subst from MJack
Skor  Pieces,Subst laitue feu
SKOR  Pieces,Subst laitue lan
Skor McFlurry,Subst McCrêpes
Skor Pieces,Subst muffin ang
SKOR Pieces,Subst oeuf brouillé
Slushies,Subst oeuf crevé
Small,Subst oeuf miroir
Small Apple Juice,Subst oeuf rond
Small Cappuccino (Almond Milk),Subst oig lam
Small Chocolate Shake,Subst oig recons
Small Clear Cup,Subst p pain Qrt
Small Cup,Subst parmesan
Small Cup FS,Subst pâté Quart
Small Decaf Coffee,Subst poulet crou
Small Earl Grey,Subst sauce BigM
Small French Fries,Subst sauce MacP
Small French Vanilla Latte (2% milk),Subst sauce Ran
Small French Vanilla Latte (Almond milk),Subst sauce tart
Small Fries,Subst sauce thaïe
Small Hot Chocolate,Subst sirop car
Small Hot Chocolate (2% Milk),Subst sirop van
Small Orange Juice,Subst tranche fr
Small Orange Pekoe Tea,Substituer saucisse
Small Order Fee,Substituer Wrap de laitue
Small Peppermint Tea,Sucre
Small Premium Roast Coffee,sucre caramélisé
Small Senior's Coffee,Sucre liquide
Small Senior's Decaf Coffee,Supp McCafé
Small Senior's Earl Grey Tea,Tartinades
Small Senior's Green Tea,Tass thé vert client aîné
Small Senior's Orange Pekoe Tea,Tasse
Small Senior's Peppermint Tea,Tasse à café déca client
Small Soft Drinks,Tasse à café infusé client
Small Strawberry Shake,Tasse à thé menthe client
Small Vanilla Shake,Tasse à thé vert client
Smarties McFlurry,Tasse bon homme de neige fêtes
Smarties Pieces,Tasse Earl Grey client
Smartwater,Tasse Earl Grey client aîné
Sml Americano,Tasse McCafé
Sml Apple Juice,Tasse menthe client aîné
Sml Barq's Root Beer,Tasse Orange Pekoe client
Sml Bergamia Grey Tea,Tasse Pekoe client aîné
Sml Blueberry Pomegranate Real Fruit Smoothie,Tasse thé bergamia gris client
Sml Blueberry Pomegranate Smoothie,Thé bergamia gris
Sml Cappuccino (2% Milk),Thé chai éclat
Sml Cappuccino (Almond Milk),Thé Earl Grey
Sml Caramel Cream Cold Brew,Thé earl grey aînés
Sml Caramel Iced Coffee,Thé glacé au au légèrement citron sucre Gold Peak
Sml Caramel Latte (2% Milk),Thé glacé au citron Gold Peak
Sml Caramel Latte (Almond milk),Thé glacé au légèrement citron sucre Gold Peak
Sml Caramel Latte (Almond Milk),Thé glacé brassé
Sml Chai Cardamom Tea Latte (2% Milk),Thé glacé Fuze
Sml Chai Cardamom Tea Latte (Almond Milk),Thé glacé FUZE
Sml Chai Glow Tea,Thé glacé NESTEA
Sml Chocolate Hazelnut Iced Latte (2% Milk),Thé menthe poivrée aînés
Sml Chocolate Hazelnut Latte (2% Milk),Thé orange pekoe
Sml Chocolate Triple Thick Milkshake,Thé Orange Pekoe
Sml Coca-Cola,Thé orange pekoe aînés
Sml Coffee,Thé Remplir Nouveau
Sml Coffee Frappé,Thé rugissement noir
Sml Coffee Frappé w/ Whipped Cream & Choc Drizzle,Thé vert
Sml Coffee Refill,Thé vert à la citronnelle
Sml Coke,Thé vert aînés
Sml Coke Zero,Tomate
Sml Cold Brew,Tomate et Mozza ***
Sml Cold Brew with Sugar-Free Syrup & Cream,Tomates raisins
Sml Decaf Coffee,Tortilla
Sml Decaf Coffee Refill,Tout le bacon et le guacamole bagel
Sml Diet Coke,TR 1 Hamb 1 Hamb from
Sml Earl Grey Tea,TR asiago et bacon poulet ***
Sml French Vanilla Cream Cold Brew,TR Bag Bac Œ Goud
Sml French Vanilla Latte (2% Milk),TR Bag Bac Œuf et Gou ***
Sml French Vanilla Latte (Almond Milk),TR Bagel Oeuf BLT
Sml Fries,TR Bgl grain tart ***
Sml Fruitopia Orange,TR Bgl grains tart ***
sml Fruitopia Strawberry,TR Bgl nat tart ***
Sml Fruitopia Strawberry,TR Bgl p-goût tart ***
Sml Fuze Iced Tea,TR Bgl pl-goût tart ***
Sml Green Tea,TR Bgl sés tart ***
Sml Hot Chocolate (Almond Milk),TR Bgl sésa tart ***
Sml Iced Coffee,TR Érable et cheddar poulet **
Sml Iced Coffee with sugar free syrup,TR Érable et cheddar poulet ***
Sml Iced Latte (2% Milk),Tr McCroustillant luxe bac sce orig Frank's RedHot
Sml Iced Latte (Almond Milk),TR McValeur Wrap-éclair poulet croust sauce Buffalo
Sml Iced Matcha Tea Latte (2% Milk),TR McValeur Wrap-éclair poulet croust sauce Ranch
Sml Iced Matcha Tea Latte (Almond Milk),TR McValeur Wrap-éclair poulet grillé sauce Buffalo
Sml Iced Mocha (2% Milk),TR McValeur Wrap-éclair poulet grillé sauce Ranch
Sml Iced Mocha (Almond Milk),TR tom et herbe poulet ***
Sml Latte (2% Milk),Trad Softserve
Sml Latte (Almond milk),Tranches de pomme
Sml Latte (Almond Milk),Trés grand
Sml Latte with sugar free syrup (2% Milk),Très grand
Sml Latte with sugar free syrup (Almond Milk),Très grand café infusé
Sml Lemon Fruit Splash,Très grand café infusé aînés
Sml Lemongrass Green Tea,Très grand café infusé décaféiné
Sml London Fog Tea Latte (2% Milk),Très grand café infusé décaféiné aînés
Sml London Fog Tea Latte (Almond Milk),Très grand café infusé décaféiné Remplir nouveau
Sml Mango Pineapple Real Fruit Smoothie,Très grand café infusé Remplir nouveau
Sml Mango Pineapple Smoothie,Trés grand menthe poivrée
Sml Matcha Tea Latte (2% Milk),Très grand thé à la menthe poivrée
Sml Matcha Tea Latte (Almond Milk),Très grand thé à la menthe poivrée aînés
Sml McCafé Mocha (2% Milk),Trés grand thé bergamia gris
Sml Mocha (2% Milk),Trés grand thé chai éclat
Sml Mocha (Almond Milk),Trés grand thé Earl Grey
Sml Mocha(2% Milk),Trés grand thé earl grey aînés
Sml Nite Sprite,Trés grand thé menthe poivrée aînés
Sml Oat Iced Coffee,Trés grand thé Orange Pekoe
Sml Orange Juice,Très grand thé orange pekoe
Sml Orange Pekoe Tea,Trés grand thé orange pekoe aînés
Sml Peppermint Tea,Très grand thé orange pekoe aînés
Sml Premium Roast Coffee,Trés grand thé rugissement noir
Sml Premium Roast Decaf Coffee,Trés grand thé vert
Sml Pumpkin Spice Latte (2% Milk),Tres grand thé vert à la citronnelle
Sml Roaring Black Tea,Trés grand thé vert aînés
Sml Senior Orange Pekoe Tea,Trio
Sml Senior Peppermint Tea,Trio 10 McCroquettes
Sml Shamrock Shake,Trio 2 Burritos-matin
Sml Sprite,Trio 2 Hamburgers
Sml Strawberry Banana Smoothie,Trio 2 hamburgers avec fromage
Sml Strawberry Triple Thick Milkshake,Trio 20 McCroquettes
Sml Sweetened Cold Brew with Cream,Trio 6 McCroquettes
Sml Sweetened Cold Brew with Oat Beverage,"Trio avec frites, format moyen"
Sml VanChai Frappé w/ Whipped Cream & Choc Drizzle,Trio bacon McCrêpes avec œuf
Sml Vanilla Chai Frappé,Trio bacon McMuffin avec œuf
Sml Vanilla Iced Coffee,Trio Bacon McMuffin œuf et sauce ail style Frank
Sml Vanilla Triple Thick Milkshake,Trio Bagel au bacon et guacamole
Sml Watermelon Lime Fruit Splash,Trio Bagel BLT Tout
Smoky BBQ Sauce,Trio Bagel multigrains avec bacon et œuf style béné
Smoothie,Trio Bagel nature avec bacon et œuf style béné
Smoothies & Frappes,Trio Bagel nature avec oeuf et bacon
Smoothies & Frappés,Trio Bagel nature avec oeuf et saucisse
Snack,Trio Bagel nature BLT
Snack Caramel Cheesecake McFlurry,Trio Bagel nature BLT avec oeuf
Snack Chocolate Cheesecake McFlurry,Trio Bagel nature oeuf et bacon
Snack McFlurry,Trio Bagel plein-goût avec bacon et œuf style béné
Snack Oreo Cheesecake McFlurry,Trio Bagel plein-goût bacon et oeuf
Snack Oreo McFlurry,Trio Bagel plein-goût BLT avec oeuf
Snack Salted Caramel McFlurry,Trio Bagel plein-goût saucisse et oeuf
Snack Size,Trio Bagel sésa avec oeuf et bacon
Snack Size Chocolate Milkshake,Trio Bagel sésa avec oeuf et saucisse
Snack Size Shamrock Shake,Trio Bagel sésa BLT avec oeuf
Snack Size Strawberry Milkshake,Trio Bagel sésa oeuf et bacon
Snack Size Vanilla Milkshake,Trio Bagel sésame avec bacon et œuf style béné
Snack Skor McFlurry,Trio Bagel sésame BLT
Snack Smarties McFlurry,Trio Big Mac
Snack Wrap ***,Trio Big Mac (sans viande)
Snack Wrap Patty,Trio Crêpe et saucisse
Snack Wrap Sauce,Trio Crêpes
Snack Wrap with Crispy Chicken,Trio Crêpes et bacon
Snack Wrap with Grilled Chicken,Trio Crêpes et saucisse
Snack Wraps,Trio dbl quart BLT
Snack’n Go,Trio de melons
Snacks & Sides,Trio Double Big Mac
Snowflake Holiday Mug,Trio Double extra fromagé
Soft Drinks,Trio Double filet de poisson
Sour Cream ‘N Onion Flavoured,Trio Double Hamburger
Sour Cream ‘N Onion Flavoured Sauce,Trio Double hamburger avec fromage
Sour Cream & Chive Sauce,Trio Double Hamburger avec fromage et bacon
SPC Card,Trio Double Quart Fromage
Spicy Bac Deluxe Grill Chicken,Trio Double Quart Hamburger (sans fromage)
Spicy Bacon Deluxe Grilled Chicken Extra Value Meal,Trio Double Quart livre (sans fromage)
Spicy Bacon Deluxe Grilled Chicken Sandwich,Trio Filet de poisson
Spicy Bacon Deluxe McCrispy,Trio Hamburger avec fromage de luxe
Spicy Bacon Deluxe McCrispy Extra Value Meal,Trio junior au poulet
Spicy Buffalo Chicken Snack Wrap with Crispy Chicken,Trio Junior au poulet chili doux
Spicy Buffalo Chicken Snack Wrap with Grilled Chicken,Trio MacPoulet
Spicy Buffalo Chicken Snack Wrap® with Crispy Chicken,Trio MacPoulet épicé avec habanero
Spicy Buffalo Chicken Snack Wrap® with Grilled Chicken,Trio McCrêpes  avec œuf et fromage
Spicy Buffalo Crispy Poutine,Trio McCrêpes avec œuf et fromage
Spicy Buffalo Grilled Poutine,Trio McCrêpes Suprême
Spicy Buffalo Snack Wrap w/ Crispy Chicken McValue Meal,Trio McCroustillant
Spicy Buffalo Snack Wrap w/ Grilled Chicken McValue Meal,Trio McCroustillant avec sauce orig Frank's RedHot
Spicy Egg & Hash Brown Breakfast Wrap,Trio McCroustillant de luxe avec bacon
Spicy Egg & Hash Brown Breakfast Wrap Extra Value Meal,Trio McCroustillant de luxe avec bacon épicé
Spicy Egg & Hash Brown Wrap,Trio McCroustillant épicé
Spicy Grilled Chicken,Trio McDouble
Spicy Grilled Chicken Sandwich,Trio McMuffin avec œuf et fromage
Spicy Grilled Chicken Sandwich Extra Value Meal,Trio McMuffin BLT avec oeuf
Spicy Habanero McChicken,Trio McMuffin Suprême
Spicy Habanero McChicken Extra Value Meal,Trio McValeur
Spicy Habanero Sauce,Trio McValeur bagel nature avec fromage à la crème
Spicy McCrispy,Trio McValeur bagel plein-goût fromage à la crème
Spicy McCrispy Extra Value Meal,Trio McValeur bagel sésame avec fromage à la crème
Spicy McVeggie,Trio McValeur Burrito-matin
Spicy McVeggie Deluxe,Trio McValeur Hamburger De Luxe
Spicy McVeggie Deluxe Extra Value Meal,Trio McValeur Junior au poulet
Spicy McVeggie Extra Value Meal,Trio McValeur McDouble
Spicy Poutine ***,Trio McValeur Saucisse McCrêpes
"Spinach Salad(carrots,sunflowe",Trio McValeur Saucisse McMuffin
"Spinach Salad(carrots,sunflower seeds,cranberries)",Trio McValeur Wrap-éclair poulet croust sauce Buffalo épicée
Splenda,Trio McValeur Wrap-éclair poulet croust sauce Ranch
Splenda Packet,Trio McValeur Wrap-éclair poulet grillé sauce Buffalo épicée
Spoons,Trio McValeur Wrap-éclair poulet grillé sauce Ranch
Spread On,Trio McVégé
Spread Type,Trio McVégé avec sauce originale Frank’s RedHot
Sprite,Trio McVégé de luxe
Sprite Bottle,Trio McVégé épicé
Sprite Syrup,Trio McVégé épicé de luxe
Sr Barq's Root Beer,Trio McWrap bacon poulet grillé
Sr Coca Cola,Trio McWrap cajun poulet grillé
Sr Coke Zero,Trio McWrap césar poulet grillé
Sr Diet Coke,Trio McWrap Chili doux
Sr Fruitopia Orange,Trio McWrap Chili doux avec poulet croustillant
Sr Fruitopia Strawberry Passion Awareness,Trio McWrap Chili doux avec poulet grillé
Sr Sprite,Trio McWrap chipotle crémeuse
Ssm Bgl w/Sprd VM ***,Trio McWrap Lime vivifiante
Stainless Holiday Cup,Trio McWrap poulet croustillant et sauce chipotle crémeuse
Stamp Mug,Trio McWrap Poulet et bacon
Star Sticks - Add to order,Trio McWrap Poulet et bacon avec poulet croustillant
Stir Sticks,Trio McWrap Poulet et bacon avec poulet grillé
Straw,Trio McWrap poulet grillé et sauce chipotle crémeuse
Strawberry Banana Smoothie,Trio McWrap sauce Ranch à l’avocat
Strawberry Jam,Trio McWrap sauce ranch cajun
Strawberry Passionfruit Syrup,Trio œuf McMuffin
Strawberry Triple Thick Milkshake,Trio œuf McMuffin BLT
Straws,Trio Œuf McMuffin sauce à l’ail style Frank’s
Striped Mug,Trio poulet grillé bac/sce orig Frank's RedHot
Stripes Tumbler,Trio poulet grillé sauce originale Frank's RedHot
Sub Broke Egg,Trio Poulet McCrêpes
Sub Can Bac,Trio Poulet McCroquettes
SUB Can Bacon,Trio Poulet McCroquettes (pour 2 personnes)
Sub Cara syp,Trio Poulet McMuffin
SUB Caramel Syrup,Trio Poulet McMuffin sauce à l’ail style Frank’s
SUB Cheese Slice,Trio quart BLT
Sub Choc Drzl,"Trio Quart de livre - frites, moyen"
SUB Chocolate Drizzle,Trio Quart de livre BLT
Sub Chs Slce,Trio Quart fromage
Sub Cr Ckn,Trio Quart hamburger (sans fromage)
Sub Cream,Trio Quart livre (sans fromage)
SUB Crispy Chicken,"Trio Quarter fromage  - frites, moyen"
Sub Eng Mfn,"Trio Quarter Fromage  - frites, moyen"
SUB Eng Muffin,Trio rôties blanc et 2 œufs frits
Sub Fried Egg,"Trio rôties blanc, bacon, et 2 œufs frits"
SUB Fried Egg,"Trio rôties blé entier, bacon, et 2 œufs frits"
Sub Griddle,Trio sandwich au poulet grillé
SUB Griddle,Trio sandwich au poulet grillé de luxe avec bacon
SUB Leaf Let,Trio sandwich épicé au poulet grillé
Sub Lettuce,Trio sandwich épicé poulet grillé de luxe avec bacon
Sub LTO Sauce 1,Trio Saucisse McCrêpes
Sub LTO Sauce 2,Trio Saucisse McCrêpes avec œuf
SUB LTO Sce 1,Trio Saucisse McMuffin
SUB LTO Sce 2,Trio saucisse McMuffin avec œuf
Sub Mac Sauc,Trio Saucisse McMuffin œuf sauce ail style Frank’s
SUB Mac Sauce,Trio Tout le bacon et le guacamole bagel
SUB Mont Jack Chs,Trio Wrap-déjeuner avec poulet
Sub MontJak,"Trio Wrap-déjeuner avec saucisse, bacon et œuf"
SUB Onion Rec,Trio Wrap-déjeuner épicé œuf et patates hachées brunes
SUB Onion Red,TRIO Wrap-éclair poulet sauce Buffalo
SUB Onion Slv,TRIO Wrap-éclair poulet sauce Ranch
Sub Parm,Tripl triple
SUB Parmesan Chs,Triple triple
Sub Qtr Bun,Type de lait
SUB Qtr Bun,Verre
Sub Qtr Meat,Verre ch retournable
SUB Qtr Meat,Verre client
Sub Ranch,Verre fr retournable
SUB Ranch Sauce,Verre réutilisable (chaud)
Sub Recon On,Verre réutilisable (froid)
Sub Red On,Vert mélangé
Sub Regular Bun,Vinaigette miel et mourtarde d
Sub Rnd Egg,Vinaigette miel et mourtarde de Dijon
SUB Round Egg,Vinaigre
Sub Scramble,Vinaigrette
Sub Shrd Let,Vinaigrettes
SUB Shred Let,votre ajout exclusif McValeur
Sub Slvr Onions,Votre don aide les familles d’enfant malade.
Sub Sunny Egg,Water
Sub Tartar,Wrap épicé œuf et patate h.b.
SUB Tartar Sauce,Wrap fiesta ***
Sub Thai Sauce,"Wrap saucisse, bacon et œuf"
SUB Thai Sauce,Wrap-déjeuner avec poulet
Sub Van syp,"Wrap-déjeuner avec saucisse, bacon et œuf"
SUB Vanilla Syrup,Wrap-déjeuner épicé avec œuf et patates hachées brunes
Substitute Almond Beverage,Wrap-éclair au poulet croust avec sauce Buffalo épicée
Substitute Bacon,Wrap-éclair au poulet croustillant avec sauce Buffalo épicée
Substitute Cilantro Lime Sauce,Wrap-éclair au poulet croustillant avec sauce Ranch
Substitute Habanero Sauce,Wrap-éclair au poulet grillé avec sauce Buffalo épicée
Substitute Lettuce Wrap,Wrap-éclair au poulet grillé avec sauce Ranch
Substitute Mayo-Style Sauce,Wrap-éclair avec poulet croustillant
Substitute Milk,Wrap-éclair avec poulet grillé
Substitute Oat Beverage,Wrap-éclair Buffalo croustil
Substitute Sausage,Wrap-éclair Buffalo grillé
Substitute Sweet Chili Sauce,Wrap-éclair croustil
Sugar,Wrap-éclair grillé
Sugar Free Syrup,Wrap-éclair laitue et tomate
Sugar Packet,Wrap-éclair mayo avec poulet croustillant
Sundae,Wrap-éclair mayo avec poulet grillé
Sundaes & Cones,Wrap-éclair mayo croustil
Sunflower Seeds Pkt,Wrap-éclair mayo grillé
Sunflwr Seed Pkt,Wrap-éclair poul ***
Support CapitalCare Norwood,Wrap-éclair poulet croustillant ranch
